Jour;jour_annee;tmax;tmin
01 JANVIER;1;2.35;-1.9
02 JANVIER;2;2.5;-1.8
03 JANVIER;3;2.24;-1.74
04 JANVIER;4;1.88;-2.08
05 JANVIER;5;1.63;-2.44
06 JANVIER;6;1.43;-2.82
07 JANVIER;7;1.08;-3.24
08 JANVIER;8;0.77;-3.69
09 JANVIER;9;0.57;-4.01
10 JANVIER;10;0.34;-4.39
11 JANVIER;11;0.38;-4.65
12 JANVIER;12;0.41;-4.72
13 JANVIER;13;0.44;-4.67
14 JANVIER;14;0.59;-4.62
15 JANVIER;15;0.72;-4.5
16 JANVIER;16;0.92;-4.31
17 JANVIER;17;1.16;-3.98
18 JANVIER;18;1.22;-3.58
19 JANVIER;19;1.43;-3.42
20 JANVIER;20;1.64;-3.06
21 JANVIER;21;1.92;-2.57
22 JANVIER;22;2.44;-1.98
23 JANVIER;23;2.88;-1.34
24 JANVIER;24;3.33;-0.78
25 JANVIER;25;3.74;-0.43
26 JANVIER;26;4.01;-0.07
27 JANVIER;27;4.24;0.03
28 JANVIER;28;4.44;-0.05
29 JANVIER;29;4.26;-0.4
30 JANVIER;30;4.25;-0.74
31 JANVIER;31;4.19;-0.93
01 FÉVRIER;32;4.13;-1.15
02 FÉVRIER;33;4.04;-1.39
03 FÉVRIER;34;4.07;-1.6
04 FÉVRIER;35;3.98;-1.74
05 FÉVRIER;36;4.1;-1.5
06 FÉVRIER;37;4.05;-1.43
07 FÉVRIER;38;3.96;-1.74
08 FÉVRIER;39;3.9;-1.77
09 FÉVRIER;40;3.88;-1.67
10 FÉVRIER;41;3.75;-1.58
11 FÉVRIER;42;3.62;-1.76
12 FÉVRIER;43;3.43;-2.2
13 FÉVRIER;44;3.37;-2.49
14 FÉVRIER;45;3.25;-2.42
15 FÉVRIER;46;3.22;-2.51
16 FÉVRIER;47;3.21;-2.59
17 FÉVRIER;48;3.47;-2.45
18 FÉVRIER;49;3.96;-2.06
19 FÉVRIER;50;4.41;-1.62
20 FÉVRIER;51;4.76;-1.28
21 FÉVRIER;52;5.2;-1.12
22 FÉVRIER;53;5.61;-0.88
23 FÉVRIER;54;5.96;-0.63
24 FÉVRIER;55;6.13;-0.5
25 FÉVRIER;56;6.22;-0.4
26 FÉVRIER;57;6.13;-0.3
27 FÉVRIER;58;6.04;-0.3
28 FÉVRIER;59;5.96;-0.32
29 FÉVRIER;60;5.84;-0.5
01 MARS;61;5.84;-0.67
02 MARS;62;5.81;-0.88
03 MARS;63;5.81;-1.08
04 MARS;64;6.06;-1.19
05 MARS;65;6.38;-1.2
06 MARS;66;6.86;-0.97
07 MARS;67;7.26;-0.5
08 MARS;68;7.55;-0.31
09 MARS;69;7.73;-0.09
10 MARS;70;7.91;0.14
11 MARS;71;8.24;0.52
12 MARS;72;8.42;0.9
13 MARS;73;8.39;1.1
14 MARS;74;8.38;1.15
15 MARS;75;8.07;1.2
16 MARS;76;7.98;1.07
17 MARS;77;8.13;1.25
18 MARS;78;7.92;1.18
19 MARS;79;7.73;1.14
20 MARS;80;7.93;1.05
21 MARS;81;8.33;0.98
22 MARS;82;8.84;1.23
23 MARS;83;9.19;1.6
24 MARS;84;9.18;1.55
25 MARS;85;9.53;1.58
26 MARS;86;9.91;1.83
27 MARS;87;10.05;2.17
28 MARS;88;9.95;2.35
29 MARS;89;10.07;2.28
30 MARS;90;10.39;2.32
31 MARS;91;10.72;2.56
01 AVRIL;92;10.97;2.76
02 AVRIL;93;11.26;2.9
03 AVRIL;94;11.54;2.99
04 AVRIL;95;12.03;3.35
05 AVRIL;96;12.33;3.57
06 AVRIL;97;12.65;3.72
07 AVRIL;98;13.01;3.95
08 AVRIL;99;13.08;4.11
09 AVRIL;100;13.07;3.96
10 AVRIL;101;12.83;3.72
11 AVRIL;102;12.54;3.54
12 AVRIL;103;12.65;3.67
13 AVRIL;104;12.86;3.84
14 AVRIL;105;12.96;4.03
15 AVRIL;106;13.15;4.19
16 AVRIL;107;13.64;4.49
17 AVRIL;108;14.24;4.97
18 AVRIL;109;14.82;5.41
19 AVRIL;110;15.01;5.63
20 AVRIL;111;14.85;5.9
21 AVRIL;112;14.75;5.95
22 AVRIL;113;14.69;6.06
23 AVRIL;114;14.29;6.01
24 AVRIL;115;14.03;5.77
25 AVRIL;116;13.69;5.6
26 AVRIL;117;13.29;5.49
27 AVRIL;118;13.32;5.13
28 AVRIL;119;13.34;5.06
29 AVRIL;120;13.49;5.03
30 AVRIL;121;13.93;5.26
01 MAI;122;14.56;5.69
02 MAI;123;14.87;6.12
03 MAI;124;15.58;6.35
04 MAI;125;15.95;6.87
05 MAI;126;16.32;7.15
06 MAI;127;16.59;7.33
07 MAI;128;16.63;7.43
08 MAI;129;16.78;7.31
09 MAI;130;17.57;7.45
10 MAI;131;18.14;7.81
11 MAI;132;18.25;8.02
12 MAI;133;18.39;8.04
13 MAI;134;18.57;8.22
14 MAI;135;18.67;8.32
15 MAI;136;18.29;8.38
16 MAI;137;17.45;7.95
17 MAI;138;16.66;7.42
18 MAI;139;16.56;7.08
19 MAI;140;16.33;7.0
20 MAI;141;16.34;6.77
21 MAI;142;16.38;6.81
22 MAI;143;16.4;7.06
23 MAI;144;16.75;7.4
24 MAI;145;17.09;7.72
25 MAI;146;17.25;7.94
26 MAI;147;17.5;8.07
27 MAI;148;17.43;8.28
28 MAI;149;17.51;8.35
29 MAI;150;17.79;8.39
30 MAI;151;17.88;8.39
31 MAI;152;17.98;8.56
01 JUIN;153;18.14;8.73
02 JUIN;154;18.43;9.06
03 JUIN;155;18.89;9.41
04 JUIN;156;19.35;9.84
05 JUIN;157;19.6;10.1
06 JUIN;158;19.95;10.36
07 JUIN;159;20.06;10.53
08 JUIN;160;20.19;10.47
09 JUIN;161;20.44;10.59
10 JUIN;162;20.61;10.75
11 JUIN;163;20.71;10.75
12 JUIN;164;20.86;10.88
13 JUIN;165;21.1;10.99
14 JUIN;166;21.53;11.27
15 JUIN;167;21.61;11.61
16 JUIN;168;21.53;11.61
17 JUIN;169;21.53;11.58
18 JUIN;170;21.61;11.57
19 JUIN;171;21.84;11.62
20 JUIN;172;21.91;11.64
21 JUIN;173;21.8;11.5
22 JUIN;174;21.93;11.62
23 JUIN;175;21.89;11.71
24 JUIN;176;21.68;11.49
25 JUIN;177;21.42;11.39
26 JUIN;178;21.11;11.23
27 JUIN;179;21.0;11.08
28 JUIN;180;21.14;11.16
29 JUIN;181;21.18;11.02
30 JUIN;182;21.07;10.82
01 JUILLET;183;20.93;10.74
02 JUILLET;184;21.06;10.69
03 JUILLET;185;21.13;10.77
04 JUILLET;186;20.92;10.79
05 JUILLET;187;20.61;10.6
06 JUILLET;188;20.41;10.53
07 JUILLET;189;20.53;10.68
08 JUILLET;190;20.89;10.93
09 JUILLET;191;21.02;11.17
10 JUILLET;192;21.17;11.33
11 JUILLET;193;21.4;11.57
12 JUILLET;194;21.4;11.76
13 JUILLET;195;21.37;11.87
14 JUILLET;196;21.47;11.85
15 JUILLET;197;21.68;11.97
16 JUILLET;198;21.65;12.04
17 JUILLET;199;21.62;11.97
18 JUILLET;200;21.75;12.0
19 JUILLET;201;22.11;12.09
20 JUILLET;202;22.37;12.1
21 JUILLET;203;22.52;12.16
22 JUILLET;204;22.38;12.08
23 JUILLET;205;22.45;12.17
24 JUILLET;206;22.53;12.21
25 JUILLET;207;22.34;12.14
26 JUILLET;208;22.22;12.06
27 JUILLET;209;22.41;12.14
28 JUILLET;210;22.72;12.23
29 JUILLET;211;22.89;12.56
30 JUILLET;212;22.8;12.55
31 JUILLET;213;22.73;12.64
01 AOÛT;214;23.07;12.78
02 AOÛT;215;23.37;13.04
03 AOÛT;216;23.25;13.19
04 AOÛT;217;22.75;13.22
05 AOÛT;218;22.39;12.83
06 AOÛT;219;22.3;12.58
07 AOÛT;220;22.22;12.62
08 AOÛT;221;21.89;12.45
09 AOÛT;222;21.63;12.23
10 AOÛT;223;21.44;12.06
11 AOÛT;224;21.22;12.02
12 AOÛT;225;21.11;12.14
13 AOÛT;226;20.84;12.11
14 AOÛT;227;20.68;11.8
15 AOÛT;228;20.53;11.75
16 AOÛT;229;20.2;11.66
17 AOÛT;230;19.95;11.37
18 AOÛT;231;19.88;11.06
19 AOÛT;232;19.89;10.84
20 AOÛT;233;19.99;10.81
21 AOÛT;234;19.98;10.78
22 AOÛT;235;20.19;10.72
23 AOÛT;236;20.42;10.79
24 AOÛT;237;20.71;10.91
25 AOÛT;238;21.16;11.19
26 AOÛT;239;21.27;11.34
27 AOÛT;240;21.24;11.37
28 AOÛT;241;21.14;11.41
29 AOÛT;242;20.92;11.41
30 AOÛT;243;20.85;11.29
31 AOÛT;244;20.61;11.29
01 SEPTEMBRE;245;20.1;11.19
02 SEPTEMBRE;246;19.67;11.1
03 SEPTEMBRE;247;19.47;10.88
04 SEPTEMBRE;248;19.33;10.76
05 SEPTEMBRE;249;19.07;10.56
06 SEPTEMBRE;250;18.92;10.36
07 SEPTEMBRE;251;18.98;10.17
08 SEPTEMBRE;252;19.25;10.11
09 SEPTEMBRE;253;19.45;10.09
10 SEPTEMBRE;254;19.56;10.09
11 SEPTEMBRE;255;19.71;10.16
12 SEPTEMBRE;256;19.83;10.38
13 SEPTEMBRE;257;19.84;10.39
14 SEPTEMBRE;258;19.58;10.34
15 SEPTEMBRE;259;19.19;10.05
16 SEPTEMBRE;260;18.98;9.85
17 SEPTEMBRE;261;18.8;9.66
18 SEPTEMBRE;262;18.42;9.47
19 SEPTEMBRE;263;18.29;9.1
20 SEPTEMBRE;264;18.18;8.99
21 SEPTEMBRE;265;18.18;8.9
22 SEPTEMBRE;266;18.37;8.83
23 SEPTEMBRE;267;18.37;8.88
24 SEPTEMBRE;268;18.44;8.95
25 SEPTEMBRE;269;18.55;8.89
26 SEPTEMBRE;270;18.37;8.96
27 SEPTEMBRE;271;17.85;8.94
28 SEPTEMBRE;272;17.45;8.89
29 SEPTEMBRE;273;17.14;8.81
30 SEPTEMBRE;274;16.91;8.8
01 OCTOBRE;275;16.76;8.79
02 OCTOBRE;276;16.76;8.82
03 OCTOBRE;277;16.56;8.81
04 OCTOBRE;278;16.51;8.74
05 OCTOBRE;279;16.37;8.69
06 OCTOBRE;280;16.2;8.59
07 OCTOBRE;281;16.19;8.41
08 OCTOBRE;282;15.83;8.26
09 OCTOBRE;283;15.38;8.12
10 OCTOBRE;284;15.05;7.66
11 OCTOBRE;285;14.84;7.25
12 OCTOBRE;286;14.56;6.86
13 OCTOBRE;287;14.15;6.56
14 OCTOBRE;288;13.55;5.99
15 OCTOBRE;289;13.18;5.41
16 OCTOBRE;290;13.01;5.0
17 OCTOBRE;291;13.03;4.89
18 OCTOBRE;292;12.8;4.74
19 OCTOBRE;293;12.7;4.7
20 OCTOBRE;294;12.63;4.85
21 OCTOBRE;295;12.59;4.96
22 OCTOBRE;296;12.68;5.19
23 OCTOBRE;297;12.33;5.21
24 OCTOBRE;298;11.96;5.18
25 OCTOBRE;299;11.69;5.1
26 OCTOBRE;300;11.31;4.87
27 OCTOBRE;301;10.93;4.42
28 OCTOBRE;302;10.7;4.29
29 OCTOBRE;303;10.56;4.17
30 OCTOBRE;304;10.41;4.19
31 OCTOBRE;305;10.23;3.99
01 NOVEMBRE;306;10.05;3.81
02 NOVEMBRE;307;9.86;3.56
03 NOVEMBRE;308;9.61;3.35
04 NOVEMBRE;309;9.46;3.22
05 NOVEMBRE;310;9.12;3.06
06 NOVEMBRE;311;8.9;2.76
07 NOVEMBRE;312;8.59;2.55
08 NOVEMBRE;313;8.52;2.61
09 NOVEMBRE;314;8.35;2.59
10 NOVEMBRE;315;8.13;2.5
11 NOVEMBRE;316;7.83;2.31
12 NOVEMBRE;317;7.32;2.08
13 NOVEMBRE;318;6.9;1.72
14 NOVEMBRE;319;6.72;1.66
15 NOVEMBRE;320;6.41;1.5
16 NOVEMBRE;321;6.3;1.49
17 NOVEMBRE;322;6.16;1.41
18 NOVEMBRE;323;5.92;1.32
19 NOVEMBRE;324;5.99;1.08
20 NOVEMBRE;325;5.98;0.95
21 NOVEMBRE;326;6.0;0.91
22 NOVEMBRE;327;5.91;0.8
23 NOVEMBRE;328;5.95;0.78
24 NOVEMBRE;329;6.06;0.89
25 NOVEMBRE;330;6.12;0.8
26 NOVEMBRE;331;5.89;0.72
27 NOVEMBRE;332;5.7;0.76
28 NOVEMBRE;333;5.34;0.47
29 NOVEMBRE;334;5.05;0.23
30 NOVEMBRE;335;4.68;-0.01
01 DÉCEMBRE;336;4.5;-0.31
02 DÉCEMBRE;337;4.15;-0.53
03 DÉCEMBRE;338;3.79;-0.8
04 DÉCEMBRE;339;3.4;-1.28
05 DÉCEMBRE;340;3.19;-1.57
06 DÉCEMBRE;341;3.12;-1.64
07 DÉCEMBRE;342;2.98;-1.72
08 DÉCEMBRE;343;2.68;-1.79
09 DÉCEMBRE;344;2.54;-1.89
10 DÉCEMBRE;345;2.51;-1.87
11 DÉCEMBRE;346;2.68;-1.84
12 DÉCEMBRE;347;2.72;-1.63
13 DÉCEMBRE;348;2.51;-1.82
14 DÉCEMBRE;349;2.27;-2.03
15 DÉCEMBRE;350;2.13;-2.23
16 DÉCEMBRE;351;1.99;-2.32
17 DÉCEMBRE;352;1.94;-2.44
18 DÉCEMBRE;353;1.74;-2.46
19 DÉCEMBRE;354;1.54;-2.79
20 DÉCEMBRE;355;1.44;-2.92
21 DÉCEMBRE;356;1.32;-3.19
22 DÉCEMBRE;357;1.01;-3.48
23 DÉCEMBRE;358;0.78;-3.74
24 DÉCEMBRE;359;0.56;-3.89
25 DÉCEMBRE;360;0.37;-4.06
26 DÉCEMBRE;361;0.32;-4.06
27 DÉCEMBRE;362;0.43;-4.14
28 DÉCEMBRE;363;0.57;-4.01
29 DÉCEMBRE;364;0.72;-3.79
30 DÉCEMBRE;365;0.87;-3.53
31 DÉCEMBRE;366;1.17;-3.07
